st_num,ecoli_collect,ecoli_vol,assumed_vol,ecoli_cnt_48,pink_coliform_cnt_48,ylw_coliform_cnt_48,dist,ecoli_cnt_48/vol,coliform_cnt_48/vol,bac_cnt_48/vol,lat,long,decLat,decLong,phosphate,nitrate,salinity
SS-001,Y,50.00,N,155.00,112.00,0.00,1.00,3.10,2.24,5.34,27¡55.4' N,82¡36.6' W,27.923,-82.61,0.267,1.254,30.15
SS-002,Y,50.00,N,20.00,52.00,18.00,45.00,0.40,1.40,1.80,27¡21.2' N,83¡32.9' W,27.353,-83.548,0.12,1.427,36.11
SS-003,Y,100.00,N,65.00,34.00,7.00,54.00,0.65,0.41,1.06,26¡29.2' N,83¡14.8' W,26.487,-83.247,0.136,1.022,36.26
SS-004,N,,,,,,,,,,26¡4.8' N,82¡16.1' W,26.08,-82.268,0.047,,35.98
SS-005,Y,100.00,N,8.00,160.00,0.00,24.00,0.08,1.60,1.68,26¡4.8' N,82¡16.1' W,26.08,-82.268,0.073,1.138,35.94
SS-006,N,,,,,,,,,,25¡49.5' N,81¡45.7' W,25.825,-81.762,0.05,,35.16
SS-007,Y,50.00,N,24.00,101.00,0.00,20.00,0.48,2.02,2.50,25¡27.6' N,81¡41.6' W,25.46,-81.693,0.052,2.372,35.488
SS-008,N,,,,,,,,,,25¡33.9' N,81¡49.1' W,25.565,-81.818,,,35.76
SS-009,N,,,,,,,,,,25¡6.6' N,81¡58.6' W,25.11,-81.977,0.052,,35.75
SS-010,Y,100.00,Y,3108.00,18.00,0.00,79.00,31.08,0.18,31.26,24¡48.9' N,82¡33.1' W,24.815,-82.552,0.04,6.635,35.96
SS-011,N,,,,,,,,,,24¡16.5' N,82¡31.3' W,24.275,-82.522,0.092,,36.28
SS-012,N,,,,,,,,,,23¡58.9' N,82¡21.0' W,23.982,-82.35,0.071,,36.28
SS-013,N,,,,,,,,,,23¡59.3' N,82¡6.6' W,23.988,-82.11,0.043,,36.11
SS-014,N,,,,,,,,,,24¡2.8' N,81¡37.0' W,24.047,-81.617,0.164,,36.21
SS-015,N,,,,,,,,,,24¡0.6' N,81¡21.2' W,24.01,-81.353,0.064,,36.19
SS-016,N,,,,,,,,,,24¡41.7' N,80¡29.9' W,24.695,-80.498,0.078,,36.25
SS-017,N,,,,,,,,,,24¡58.5' N,80¡6.9' W,24.975,-80.115,0.087,,36.16
SS-018,N,,,,,,,,,,25¡27.4' N,79¡59.9' W,25.457,-79.998,0.082,,36.14
SS-019,N,,,,,,,,,,26¡52.7' N,79¡44.7' W,26.878,-79.745,0.043,,36.24
SS-020,Y,100.00,N,14.00,850.00,0.00,34.00,0.14,8.50,8.64,28¡31.4' N,79¡54.5' W,28.523,-79.908,0.003,2.372,36.27
SS-021,N,,,,,,,,,,28¡20.5' N,79¡34.0' W,28.342,-79.567,0.021,,36.25
SS-022,Y,100.00,N,141.00,122.00,0.00,49.00,1.41,1.22,2.63,29¡0.8' N,79¡47.2' W,29.013,-79.787,0.003,2.681,36.25
SS-023,N,,,,,,,,,,29¡27.9' N,79¡49.6' W,29.465,-79.827,0.061,,36.27
SS-024,Y,100.00,N,0.00,42.00,17.00,82.00,0.00,0.59,0.59,29¡14.8' N,79¡12.6' W,29.247,-79.21,0.014,2.527,36.6
SS-025,N,,,,,,,,,,29¡31.0' N,79¡3.7' W,29.517,-79.062,0.04,,36.45
SS-026,N,,,,,,,,,,29¡45.9' N,78¡27.3' W,29.765,-78.455,0.017,,36.71
SS-027,N,,,,,,,,,,29¡56.5' N,77¡40.6' W,29.942,-77.677,0.028,,36.6
SS-028,Y,100.00,N,7.00,352.00,51.00,225.00,0.07,4.03,4.10,30¡11.1' N,76¡48.4' W,30.185,-76.807,0.035,2.488,36.69
SS-029,N,,,,,,,,,,31¡4.9' N,76¡55.7' W,31.082,-76.928,0.026,2.565,36.76
SS-030,N,,,,,,,,,,31¡28.7' N,76¡48.4' W,31.478,-76.807,0.035,2.507,36.72
SS-031,Y,100.00,N,1.00,15.00,3.00,124.00,0.01,0.18,0.19,32¡11.5' N,77¡1.2' W,32.192,-77.02,0,2.72,36.28
