decLong,decLat,bacteria,number,Ecoli,ecoli_collect,dist
-82.61,27.923,5.34,SS-001,3.1,Y,1.00
-83.548,27.353,1.80,SS-002,0.4,Y,45.00
-83.247,26.487,1.06,SS-003,0.65,Y,54.00
-82.268,26.08,,SS-004,,N,
-82.268,26.08,1.68,SS-005,0.08,Y,24.00
-81.762,25.825,,SS-006,,N,
-81.693,25.46,2.50,SS-007,0.48,Y,20.00
-81.818,25.565,,SS-008,,N,
-81.977,25.11,,SS-009,,N,
-82.552,24.815,31.26,SS-010,31.08,Y,79.00
-82.522,24.275,,SS-011,,N,
-82.35,23.982,,SS-012,,N,
-82.11,23.988,,SS-013,,N,
-81.617,24.047,,SS-014,,N,
-81.353,24.01,,SS-015,,N,
-80.498,24.695,,SS-016,,N,
-80.115,24.975,,SS-017,,N,
-79.998,25.457,,SS-018,,N,
-79.745,26.878,,SS-019,,N,
-79.908,28.523,8.64,SS-020,0.14,Y,34.00
-79.567,28.342,,SS-021,,N,
-79.787,29.013,2.63,SS-022,1.41,Y,49.00
-79.827,29.465,,SS-023,,N,
-79.21,29.247,0.59,SS-024,0,Y,82.00
-79.062,29.517,,SS-025,,N,
-78.455,29.765,,SS-026,,N,
-77.677,29.942,,SS-027,,N,
-76.807,30.185,4.10,SS-028,0.07,Y,225.00
-76.928,31.082,,SS-029,,N,
-76.807,31.478,,SS-030,,N,
-77.02,32.192,0.19,SS-031,0.01,Y,124.00
-76.973,32.818,0.00,SS-032,0,Y,113.00
-76.98,33.455,0.35,SS-033,0,Y,60.00
-76.717,34.438,,SS-034,,N,
-76.658,34.657,4.59,SS-035,4.59,Y,1.50
-76.292,34.457,4.95,SS-036,0.047058824,Y,15.00
-75.703,34.442,0.08,SS-037,0.05,Y,39.00
-74.923,34.657,1.02,SS-038,0,Y,45.00
-74.687,35.997,,SS-039,,N,
-74.703,36.278,0.01,SS-040,0,Y,48.00
-75.385,36.88,0.98,SS-041,0,Y,27.00
-74.917,37.315,,SS-042,,N,
-74.613,37.337,,SS-043,,N,
-73.863,37.408,1.05,SS-044,0,Y,77.00
-74.182,37.685,,SS-045,,N,
-74.622,38.523,0.00,SS-046,0,Y,20.00
-75.105,38.813,26.90,SS-047,0.1,Y,1.00
-74.533,38.812,2.00,SS-048,0.09,Y,17.00
-74.125,39.042,0.33,SS-049,0,Y,23.00
-73.278,39.338,24.38,SS-050,0.07,Y,47.00
-72.318,39.495,,,0,N,
-71.53,39.515,0.00,,0,Y,91.00
-70.72,39.737,,,,N,
-70.46,39.618,3.15,,,Y,99.00
-69.788,39.698,,,,Y,86.00
-69.332,39.87,0.00,,,Y,85.00
-68.548,40.722,,,,Y,71.00
-68.875,41.827,0.00,,,Y,47.00
-70.168,42.44,,,,N,
-70.18,42.438,0.00,,,Y,22.00
-70.318,42.257,10.46,,,Y,12.00
-70.397,42.03,2.62,,,Y,7.00
-70.641,41.534,6.34,,,Y,0.00
-70.671667,42.523333,6.24,,,Y,0.00
