 Time_Elapsed,Time_Decimal,Movement,Medication,Trial
0:00,0,3,Ibuprofen,2
0:30,0.5,2.5,Ibuprofen,2
1:26,1.43,1.5,Ibuprofen,2
2:26,2.43,1.5,Ibuprofen,2
3:22,3.37,1,Ibuprofen,2
4:21,4.35,1.5,Ibuprofen,2
6:00,6,1.5,Ibuprofen,2
7:00,7,1,Ibuprofen,2
8:30,8.5,0.5,Ibuprofen,2
11:21,11.35,0.5,Ibuprofen,2
11:59,11.98,0,Ibuprofen,2
0:00,0,3,Ibuprofen,3
0:20,0.33,1,Ibuprofen,3
1:58,1.97,1,Ibuprofen,3
2:59,2.98,1,Ibuprofen,3
3:55,3.92,0,Ibuprofen,3
0:00,0,3,Ibuprofen,4
0:30,0.5,2,Ibuprofen,4
1:20,1.33,1,Ibuprofen,4
2:22,2.37,0.5,Ibuprofen,4
3:42,3.7,0,Ibuprofen,4
0:00,0,3,Naproxen,2
0:30,0.5,3,Naproxen,2
1:26,1.43,2.5,Naproxen,2
2:26,2.43,2.5,Naproxen,2
3:22,3.37,2,Naproxen,2
4:21,4.35,2,Naproxen,2
6:00,6,2,Naproxen,2
7:00,7,1.5,Naproxen,2
8:30,8.5,1.5,Naproxen,2
11:21,11.35,1,Naproxen,2
11:59,11.98,0.5,Naproxen,2
13:00,13,0,Naproxen,2
0:00,0,3,Naproxen,3
0:20,0.33,2.5,Naproxen,3
1:58,1.97,3,Naproxen,3
2:59,2.98,2,Naproxen,3
3:55,3.92,2,Naproxen,3
4:55,4.92,3,Naproxen,3
5:42,5.7,1,Naproxen,3
6:57,6.95,1,Naproxen,3
8:06,8.1,1,Naproxen,3
9:20,9.33,1,Naproxen,3
10:06,10.1,1,Naproxen,3
11:01,11.02,1,Naproxen,3
11:54,11.9,2,Naproxen,3
13:08,13.13,1.5,Naproxen,3
14:04,14.07,1,Naproxen,3
15:00,15,1,Naproxen,3
15:53,15.88,0.5,Naproxen,3
17:04,17.07,0,Naproxen,3
0:00,0,3,Naproxen,4
0:30,0.5,3,Naproxen,4
1:20,1.33,3,Naproxen,4
2:22,2.37,2,Naproxen,4
3:42,3.7,2,Naproxen,4
6:11,6.18,1.5,Naproxen,4
6:43,6.72,1.5,Naproxen,4
8:53,8.88,1.5,Naproxen,4
10:03,10.05,1.5,Naproxen,4
11:50,11.83,1,Naproxen,4
13:29,13.48,1,Naproxen,4
15:19,15.32,1,Naproxen,4
16:35,16.58,1,Naproxen,4
17:02,17.03,1,Naproxen,4
18:00,18,0.5,Naproxen,4
20:03,20.05,0.5,Naproxen,4
21:04,21.07,0.5,Naproxen,4
28:02:00,28.03,0,Naproxen,4
0:00,0,3,Acetaminophen,2
0:30,0.5,3,Acetaminophen,2
1:26,1.43,2,Acetaminophen,2
2:26,2.43,2.5,Acetaminophen,2
3:22,3.37,3,Acetaminophen,2
4:21,4.35,3,Acetaminophen,2
6:00,6,3,Acetaminophen,2
7:00,7,2.5,Acetaminophen,2
8:30,8.5,2.5,Acetaminophen,2
11:21,11.35,2.5,Acetaminophen,2
11:59,11.98,2.5,Acetaminophen,2
13:00,13,2.5,Acetaminophen,2
14:05,14.08,2.5,Acetaminophen,2
15:20,15.33,2.5,Acetaminophen,2
16:50,16.83,1,Acetaminophen,2
17:50,17.83,1,Acetaminophen,2
0:00,0,3,Acetaminophen,3
0:20,0.33,3,Acetaminophen,3
1:58,1.97,3,Acetaminophen,3
2:59,2.98,2.5,Acetaminophen,3
3:55,3.92,2.5,Acetaminophen,3
4:55,4.92,3,Acetaminophen,3
5:42,5.7,3,Acetaminophen,3
6:57,6.95,3,Acetaminophen,3
8:06,8.1,2.5,Acetaminophen,3
9:20,9.33,2,Acetaminophen,3
10:06,10.1,3,Acetaminophen,3
11:01,11.02,2.5,Acetaminophen,3
11:54,11.9,2.5,Acetaminophen,3
13:08,13.13,2.5,Acetaminophen,3
14:04,14.07,2,Acetaminophen,3
15:00,15,2,Acetaminophen,3
15:53,15.88,3,Acetaminophen,3
17:04,17.07,3,Acetaminophen,3
18:00,18,2.5,Acetaminophen,3
19:10,19.17,1.5,Acetaminophen,3
19:57,19.95,2.5,Acetaminophen,3
21:27,21.45,2,Acetaminophen,3
23:03,23.05,3,Acetaminophen,3
24:13:00,24.22,3,Acetaminophen,3
25:03:00,25.05,2.5,Acetaminophen,3
26:00:00,26,2.5,Acetaminophen,3
28:00:00,28,2.5,Acetaminophen,3
32:23:00,32.38,1.5,Acetaminophen,3
33:06:00,33.1,2,Acetaminophen,3
34:04:00,34.07,2,Acetaminophen,3
35:00:00,35,1,Acetaminophen,3
37:00:00,37,1.5,Acetaminophen,3
38:00:00,38,0,Acetaminophen,3
0:00,0,3,Acetaminophen,4
0:30,0.5,3,Acetaminophen,4
1:20,1.33,2.5,Acetaminophen,4
2:22,2.37,2.5,Acetaminophen,4
3:42,3.7,2.5,Acetaminophen,4
6:11,6.18,2.5,Acetaminophen,4
6:43,6.72,3,Acetaminophen,4
8:53,8.88,2.5,Acetaminophen,4
10:03,10.05,2,Acetaminophen,4
11:50,11.83,2,Acetaminophen,4
13:29,13.48,2,Acetaminophen,4
15:19,15.32,2.5,Acetaminophen,4
16:35,16.58,2,Acetaminophen,4
17:02,17.03,1.5,Acetaminophen,4
18:00,18,2,Acetaminophen,4
20:03,20.05,2,Acetaminophen,4
21:04,21.07,1.5,Acetaminophen,4
28:02:00,28.03,1.5,Acetaminophen,4
28:55:00,28.92,2,Acetaminophen,4
32:06:00,32.1,2,Acetaminophen,4
33:05:00,33.08,2,Acetaminophen,4
0:00,0,3,Control,2
0:30,0.5,2.5,Control,2
1:26,1.43,3,Control,2
2:26,2.43,3,Control,2
3:22,3.37,3,Control,2
4:21,4.35,2.5,Control,2
6:00,6,2.5,Control,2
7:00,7,3,Control,2
8:30,8.5,1.5,Control,2
11:21,11.35,1.5,Control,2
11:59,11.98,2.5,Control,2
13:00,13,1.5,Control,2
14:05,14.08,1.5,Control,2
15:20,15.33,1,Control,2
16:50,16.83,1,Control,2
17:50,17.83,1,Control,2
0:00,0,3,Control,3
0:20,0.33,3,Control,3
1:58,1.97,2.5,Control,3
2:59,2.98,3,Control,3
3:55,3.92,3,Control,3
4:55,4.92,3,Control,3
5:42,5.7,3,Control,3
6:57,6.95,2.5,Control,3
8:06,8.1,2,Control,3
9:20,9.33,2.5,Control,3
10:06,10.1,2,Control,3
11:01,11.02,2,Control,3
11:54,11.9,2,Control,3
13:08,13.13,2,Control,3
14:04,14.07,2.5,Control,3
15:00,15,3,Control,3
15:53,15.88,3,Control,3
17:04,17.07,2.5,Control,3
18:00,18,2.5,Control,3
19:10,19.17,2.5,Control,3
19:57,19.95,2.5,Control,3
21:27,21.45,2.5,Control,3
23:03,23.05,2,Control,3
24:13:00,24.22,3,Control,3
25:03:00,25.05,2.5,Control,3
26:00:00,26,2.5,Control,3
28:00:00,28,2,Control,3
32:23:00,32.38,2,Control,3
33:06:00,33.1,2,Control,3
34:04:00,34.07,2,Control,3
35:00:00,35,2,Control,3
37:00:00,37,2,Control,3
38:00:00,38,2,Control,3
0:00,0,3,Control,4
0:30,0.5,3,Control,4
1:20,1.33,1.5,Control,4
2:22,2.37,2,Control,4
3:42,3.7,2.5,Control,4
6:11,6.18,3,Control,4
6:43,6.72,2.5,Control,4
8:53,8.88,2.5,Control,4
10:03,10.05,2.5,Control,4
11:50,11.83,2.5,Control,4
13:29,13.48,2.5,Control,4
15:19,15.32,2,Control,4
16:35,16.58,1.5,Control,4
17:02,17.03,1.5,Control,4
18:00,18,2,Control,4
20:03,20.05,2,Control,4
21:04,21.07,2,Control,4
28:02:00,28.03,2,Control,4
28:55:00,28.92,2,Control,4
32:06:00,32.1,2,Control,4
33:05:00,33.08,2.5,Control,4
